Title,Author,ISBN-13
"The Hexologists",Josiah Bancroft,9780316568112
"The Tainted Cup",Robert Jackson Bennett,9780593548943
"The Familiar",Leigh Bardugo,9780593595534
"A Fate Inked in Blood",Danielle L. Jensen,9780593440711
"The Prisoner's Throne",Holly Black,9780316538962
"Expiration Dates",Rebecca Serle,9781668012017
"Funny Story",Emily Henry,9780593441299
"Just for the Summer",Abby Jimenez,9780593638422
"The Ministry of Time",Kaliane Bradley,9781668045718
"Long Island",Colm Tóibín,9781476785110
"The Hunter",Tana French,9780593491324
"The Women",Kristin Hannah,9780312577243
"James",Percival Everett,9780385551540
"Wandering Stars",Tommy Orange,9780593209015
"Martyr!",Kaveh Akbar,9780593320709
"Grief Is for People",Sloane Crosley,9780374603914
"The Book of Love",Kelly Link,9780525519881
"This Is How You Get Your Heart Broken",Rosemarie Jarski,9780385676991
"All the Colors of the Dark",Chris Whitaker,9780593137527
"The Husbands",Holly Gramazio,9780593798935
"Table for Two",Amor Towles,9780593796849
"The Housemaid Is Watching",Freida McFadden,9781542037464
"The New Couple in 5B",Lisa Unger,9780778334465
"Listen for the Lie",Amy Tintera,9781250887320
"The Reappearance of Rachel Price",Holly Jackson,9780593374221
"Knife",Salman Rushdie,9780593730232
"Somehow: Thoughts on Love",Anne Lamott,9780593241039
"The Wives",Simone Gorrindo,9781643751761
"The Demon of Unrest",Erik Larson,9780385348744
"The Anxious Generation",Jonathan Haidt,9780593655030
"The Comfort of Crows",Margaret Renkl,9780593243767
"The Age of Revolutions",Fareed Zakaria,9780393247341
"Supercommunicators",Charles Duhigg,9780593236899
"The House of Hidden Meanings",RuPaul,9780063261600
"There's Always This Year",Hanif Abdurraqib,9780593244030
"The Wide Wide Sea",Hampton Sides,9780385544764
