Title,Author,ISBN-13
"The Vanishing Half",Brit Bennett,9780525536291
"Shuggie Bain",Douglas Stuart,9780802148049
"The Midnight Library",Matt Haig,9780525559474
"A Promised Land",Barack Obama,9781524763160
"The Invisible Life of Addie LaRue",V.E. Schwab,9780765387564
"Hamnet",Maggie O'Farrell,9780525657606
"Deacon King Kong",James McBride,9780735216723
"Homeland Elegies",Ayad Akhtar,9780316496422
"Leave the World Behind",Rumaan Alam,9780062667632
"Interior Chinatown",Charles Yu,9780307907207
"Such a Fun Age",Kiley Reid,9780525541998
"Mexican Gothic",Silvia Moreno-Garcia,9780525620785
"The Guest List",Lucy Fokley,9780062868930
"Anxious People",Fredrik Backman,9781501160837
"The Glass Hotel",Emily St. John Mandel,9780525521112
"The Henna Artist",Alka Joshi,9780778309357
"The House in the Cerulean Sea",TJ Klune,9781250217288
"Beach Read",Emily Henry,9781984806734
"From Blood and Ash",Jennifer L. Armentrout,9781952457002
"The Ballad of Songbirds and Snakes",Suzanne Collins,9781338635171
"Caste: The Origins of Our Discontents",Isabel Wilkerson,9780593230255
"Untamed",Glennon Doyle,9781984801258
"A Very Punchable Face",Colin Jost,9781101906323
"Greenlights",Matthew McConaughey,9780593139130
"The Splendid and the Vile",Erik Larson,9780385348713
"Breath: The New Science of a Lost Art",James Nestor,9780735213616
"Sapiens: A Brief History of Humankind",Yuval Noah Harari,9780062316097
"Educated",Tara Westover,9780399590504
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,9780062976581
"Atomic Habits",James Clear,9780735211292
"My Dark Vanessa",Kate Elizabeth Russell,9780062941503
"American Dirt",Jeanine Cummins,9781250209764
"Writers & Lovers",Lily King,9780802148537
"The Death of Vivek Oji",Akwaeke Emezi,9780525541608
"Luster",Raven Leilani,9780374194294
"Memorial",Bryan Washington,9780593087275
"Transcendent Kingdom",Yaa Gyasi,9780525658184
"The Mirror & The Light",Hilary Mantel,9780805096606
"A Burning",Megha Majumdar,9780525658696
"The Cold Millions",Jess Walter,9780062868084
"Piranesi",Susanna Clarke,9781635575637
"Ready Player Two",Ernest Cline,9781524761333
"The Sentinel",Lee Child and Andrew Child,9781984818461
"A Time for Mercy",John Grisham,9780385545969
"Daylight",David Baldacci,9781538761601
"The Return",Nicholas Sparks,9781538728574
"The Book of Two Ways",Jodi Picoult,9781984818355
"The Order",Daniel Silva,9780062834843
"Near Dark",Brad Thor,9781982104054
"Fair Warning",Michael Connelly,9780316539429
"Walk the Wire",David Baldacci,9781538761564
"Camino Winds",John Grisham,9780385545938
"If It Bleeds",Stephen King,9781982137977
