Title,Author,ISBN-13
"The Testaments",Margaret Atwood,9780385543781
"Girl, Woman, Other",Bernardine Evaristo,9780802156983
"The Silent Patient",Alex Michaelides,9781250301698
"Where the Crawdads Sing",Delia Owens,9780735219090
"The Nickel Boys",Colson Whitehead,9780385537070
"On Earth We're Briefly Gorgeous",Ocean Vuong,9780525562023
"Daisy Jones & The Six",Taylor Jenkins Reid,9781524798629
"Red, White & Royal Blue",Casey McQuiston,9781250316775
"The Institute",Stephen King,9781982110567
"The Dutch House",Ann Patchett,9780062963673
"City of Girls",Elizabeth Gilbert,9781594634734
"The Water Dancer",Ta-Nehisi Coates,9780399590597
"Ninth House",Leigh Bardugo,9781250313071
"The Starless Sea",Erin Morgenstern,9780385541213
"Such a Fun Age",Kiley Reid,9780525541998
"Olive, Again",Elizabeth Strout,9780812996542
"The Giver of Stars",Jojo Moyes,9780399562488
"A Woman Is No Man",Etaf Rum,9780062699761
"The Friend Zone",Abby Jimenez,9781538715611
"The Honey-Don't List",Christina Lauren,9781982124168
"Recursion",Blake Crouch,9781524759781
"Exhalation: Stories",Ted Chiang,9781101947883
"Gideon the Ninth",Tamsyn Muir,9781250313194
"The Priory of the Orange Tree",Samantha Shannon,9781635570298
"Three Women",Lisa Taddeo,9781451642292
"Say Nothing: A True Story of Murder and Memory in Northern Ireland",Patrick Radden Keefe,9780385521413
"Educated",Tara Westover,9780399590504
"Becoming",Michelle Obama,9781524763139
"The Body: A Guide for Occupants",Bill Bryson,9780385539302
"How To Be an Antiracist",Ibram X. Kendi,9780525509288
"The Witches Are Coming",Lindy West,9780316449881
"Trick Mirror: Reflections on Self-Delusion",Jia Tolentino,9780525510543
"Know My Name",Chanel Miller,9780735223707
"Maybe You Should Talk to Someone",Lori Gottlieb,9781328662447
"Crying in H Mart",Michelle Zauner,9780525657743
"The Yellow House",Sarah M. Broom,9780802125187
"The Guardians",John Grisham,9780385544184
"Blue Moon",Lee Child,9780399593543
"A Minute to Midnight",David Baldacci,9781538761649
"The Night Fire",Michael Connelly,9780316485617
"Twisted Twenty-Six",Janet Evanovich,9781984817297
"The Way of Kings",Brandon Sanderson,9780765326355
"The Overstory",Richard Powers,9780393356689
"Ducks, Newburyport",Lucy Ellmann,9780932440007
"10 Minutes 38 Seconds in This Strange World",Elif Shafak,9781635573534
"Lanny",Max Porter,9781644450012
"Frankissstein: A Love Story",Jeanette Winterson,9780802129499
"The Man Who Saw Everything",Deborah Levy,9781635573480
"Quichotte",Salman Rushdie,9780593132985
