Title,Author,ISBN-13
"The Lincoln Highway",Amor Towles,9780735222359
"Klara and the Sun",Kazuo Ishiguro,9780593318171
"The Promise",Damon Galgut,9781609456580
"Hell of a Book",Jason Mott,9780593332122
"The Love Songs of W.E.B. Du Bois",Honorée Fanonne Jeffers,9780062942937
"Beautiful World, Where Are You",Sally Rooney,9780374602603
"Cloud Cuckoo Land",Anthony Doerr,9781476746586
"Project Hail Mary",Andy Weir,9780593135202
"The Four Winds",Kristin Hannah,9780312577243
"Malibu Rising",Taylor Jenkins Reid,9781524798650
"The Last Thing He Told Me",Laura Dave,9781501171345
"The Midnight Library",Matt Haig,9780525559474
"The Push",Ashley Audrain,9780593331309
"People We Meet on Vacation",Emily Henry,9781984806758
"The Seven Husbands of Evelyn Hugo",Taylor Jenkins Reid,9781501161933
"The Song of Achilles",Madeline Miller,9780062060624
"Circe",Madeline Miller,9780316556348
"The Invisible Life of Addie LaRue",V.E. Schwab,9780765387564
"Where the Crawdads Sing",Delia Owens,9780735219090
"Great Circle",Maggie Shipstead,9780525656975
"Harlem Shuffle",Colson Whitehead,9780385545136
"Bewilderment",Richard Powers,9780393881141
"The Judge's List",John Grisham,9780385548021
"The Wish",Nicholas Sparks,9781538728604
"Apples Never Fall",Liane Moriarty,9781250220257
"The Paper Palace",Miranda Cowley Heller,9780593329825
"The Plot",Jean Hanff Korelitz,9781250265265
"The Guest List",Lucy Fokley,9780062868930
"The Rose Code",Kate Quinn,9780062943477
"The Sanatorium",Sarah Pearse,9780593296619
"Rock Paper Scissors",Alice Feeney,9781250266101
"The Final Girl Support Group",Grady Hendrix,9780593201231
"Under the Whispering Door",TJ Klune,9781250217349
"A Court of Silver Flames",Sarah J. Maas,9781681196282
"Rule of Wolves",Leigh Bardugo,9781250207579
"One Last Stop",Casey McQuiston,9781250244499
"The Spanish Love Deception",Elena Armas,9781668002520
"Firekeeper's Daughter",Angeline Boulley,9781250766564
"Concrete Rose",Angie Thomas,9780062846716
"Crying in H Mart",Michelle Zauner,9780525657743
"The Code Breaker",Walter Isaacson,9781982115852
"Empire of Pain",Patrick Radden Keefe,9780385545686
"The Anthropocene Reviewed",John Green,9780525555216
"A Little Devil in America",Hanif Abdurraqib,9780593132331
"How the Word Is Passed",Clint Smith,9780316492936
"The 1619 Project",Nikole Hannah-Jones,9780593230576
"Fuzz: When Nature Breaks the Law",Mary Roach,9780393246221
"The Dawn of Everything",David Graeber & David Wengrow,9780374157357
"Matrix",Lauren Groff,9781594634505
"Crossroads",Jonathan Franzen,9780374134013
"No One Is Talking About This",Patricia Lockwood,9780593298514
"Second Place",Rachel Cusk,9780374603389
"At Night All Blood Is Black",David Diop,9780374602283
"A Passage North",Anuk Arudpragasam,9780593230620
