Title,Author,ISBN-13
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zvin,9780593321201
"Lessons in Chemistry",Bonnie Garmus,9780385547345
"The Seven Moons of Maali Almeida",Shehan Karunatilaka,9780393358812
"The Netanyahus",Joshua Cohen,9781681376077
"The Rabbit Hutch",Tess Gunty,9780593536049
"I'm Glad My Mom Died",Jennette McCurdy,9781982185824
"Book Lovers",Emily Henry,9780593334836
"The Maid",Nita Prose,9780593356159
"Carrie Soto Is Back",Taylor Jenkins Reid,9780593158683
"House of Sky and Breath",Sarah J. Maas,9781635577044
"Sea of Tranquility",Emily St. John Mandel,9780593321447
"Our Missing Hearts",Celeste Ng,9780593492543
"Babel, Or the Necessity of Violence",R.F. Kuang,9780063021426
"Fairy Tale",Stephen King,9781668002179
"The Light We Carry",Michelle Obama,9780593237469
"Remarkably Bright Creatures",Shelby Van Pelt,9780063204157
"The Lincoln Highway",Amor Towles,9780735222359
"Cloud Cuckoo Land",Anthony Doerr,9781476746586
"Horse",Geraldine Brooks,9780399562822
"The Paris Apartment",Lucy Foley,9780063003057
"Verity",Colleen Hoover,9781538724736
"It Starts with Us",Colleen Hoover,9781668001226
"Reminders of Him",Colleen Hoover,9781542022637
"The Winners",Fredrik Backman,9781501160790
"The Boys from Biloxi",John Grisham,9780385548922
"A World of Curiosities",Louise Penny,9781250145291
"Desert Star",Michael Connelly,9780316485655
"The House of Fortune",Jessie Burton,9781250239617
"The Marriage Portrait",Maggie O'Farrell,9780593320624
"The Last Chairlift",John Irving,9781501189210
"The Personal Librarian",Marie Benedict & Victoria Christopher Murray,9780593333938
"The Man Who Died Twice",Richard Osman,9780593299412
"The Bullet That Missed",Richard Osman,9780593299399
"The Golden Enclaves",Naomi Novik,9780593158355
"Nona the Ninth",Tamsyn Muir,9781250899125
"The Final Gambit",Jennifer Lynn Barnes,9780316370887
"The First to Die at the End",Adam Silvera,9780063240958
"Stay True: A Memoir",Hua Hsu,9780385547772
"An Immense World",Ed Yong,9780593133239
"Solito",Javier Zamora,9780593498064
"South to America",Imani Perry,9780062977465
"The Song of the Cell",Siddhartha Mukherjee,9781982117351
"Glory",NoViolet Bulawayo,9780593211681
"The Trees",Percival Everett,9781644450647
"Treacle Walker",Alan Garner,9780008479599
"Small Things Like These",Claire Keegan,9780802158741
"Oh William!",Elizabeth Strout,9780812989482
"All the Broken Places",John Boyne,9780593655115
"Signal Fires",Dani Shapiro,9780525657095
"The Hero of This Book",Elizabeth McCracken,9780063071339
"Liberation Day",George Saunders,9780525509172
"Shrines of Gaiety",Kate Atkinson,9780385547970
"Lucy by the Sea",Elizabeth Strout,9780593446065
"The Candy House",Jennifer Egan,9781476716763
