Title,Author,ISBN-13
"Yellowface",R.F. Kuang,9780063250895
"Demon Copperhead",Barbara Kingsolver,9780063251922
"Trust",Hernan Diaz,9780593449608
"Blackouts",Justin Torres,9780374112523
"Prophet Song",Paul Lynch,9780802161208
"The Bee Sting",Paul Murray,9780374609916
"Western Lane",Chetna Maroo,9780374610486
"This Other Eden",Paul Harding,9780393608170
"Study for Obedience",Sarah Bernstein,9781913348983
"If I Survive You",Jonathan Escoffery,9780374605988
"Chain-Gang All-Stars",Nana Kwame Adjei-Brenyah,9781524747047
"The Heaven & Earth Grocery Store",James McBride,9780593441282
"A Day of Fallen Night",Samantha Shannon,9781635577938
"The Adventures of Amina al-Sirafi",Shannon Chakraborty,9780062963505
"Fourth Wing",Rebecca Yarros,9781649374042
"Iron Flame",Rebecca Yarros,9781649374172
"The Fraud",Zadie Smith,9780525563365
"North Woods",Daniel Mason,9780593536063
"The Vaster Wilds",Lauren Groff,9780593448960
"In Ascension",Martin MacInnes,9780802162236
"All the Sinners Bleed",S.A. Cosby,9781250831903
"Birnam Wood",Eleanor Catton,9780374600210
"The Housemaid's Secret",Freida McFadden,9781542037426
"Bright Young Women",Jessica Knoll,9781501191732
"The Only One Left",Riley Sager,9780593183210
"None of This Is True",Lisa Jewell,9781982178901
"The Last Devil to Die",Richard Osman,9780593299405
"Holly",Stephen King,9781668016138
"How to Sell a Haunted House",Grady Hendrix,9780593201262
"Silver Nitrate",Silvia Moreno-Garcia,9780593355343
"A House with Good Bones",T. Kingfisher,9781250846594
"Rouge",Mona Awad,9781982163419
"Happy Place",Emily Henry,9780593441275
"The Art of Scandal",Regina Black,9781538724774
"Same Time Next Summer",Annabel Monaghan,9780593541524
"The Wishing Game",Meg Shaffer,9780593598818
"Weyward",Emilia Hart,9781250280206
"Lady Tan's Circle of Women",Lisa See,9781982117085
"The Covenant of Water",Abraham Verghese,9780802162175
"Tom Lake",Ann Patchett,9780063327627
"Hello Beautiful",Ann Napolitano,9780593593813
"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,9780385534260
"The Woman in Me",Britney Spears,9781668009048
"Spare",Prince Harry, The Duke of Sussex,9780593593806
"King: A Life",Jonathan Eig,9780374234679
"The Best Minds",Jonathan Rosen,9781594206550
"Master Slave Husband Wife",Ilyon Woo,9781501191138
"Fire Weather",John Vaillant,9780525656913
"Some People Need Killing",Patricia Evangelista,9780593331002
"Poverty, by America",Matthew Desmond,9780593239913
"Divine Rivals",Rebecca Ross,9781250857439
"Check & Mate",Ali Hazelwood,9780593599907
"The Sun and the Star",Rick Riordan & Mark Oshiro,9781368081152
"A First Time for Everything",Dan Santat,9781324015112
"The Little Liar",Mitch Albom,9780063282216
"The Exchange",John Grisham,9780385548953
"The Rediscovery of America",Ned Blackhawk,9780300244023
"Let Us Descend",Jesmyn Ward,9781982104498
"Time Shelter",Georgi Gospodinov,9781631499972
